"","Date","Station","Outflow","Inflow","Total","X","daily.data.summary","daily.data.icon","daily.data.precipIntensity","daily.data.precipProbability","daily.data.precipType","daily.data.temperatureHigh","daily.data.temperatureLow","daily.data.apparentTemperatureHigh","daily.data.apparentTemperatureLow","daily.data.humidity","daily.data.windSpeed","Wday","Wday_bin","Hday_bin","Month","Month_x","Month_y","Season","Precip_bin"
"19718","2011-02-03","31404",0,0,0,137,"Clear throughout the day.","clear-day",0,0,NA,34.55,24.83,33.72,24.83,0.5,4.22,"Thursday",1,0,2,0.866025403784439,0.5,"Winter",0
"15156","2011-01-03","31400",14,11,25,106,"Clear throughout the day.","clear-day",0,0,NA,38.14,23.93,36.72,23.93,0.45,3.43,"Monday",1,0,1,0.5,0.866025403784439,"Winter",0
"47458","2011-08-15","31112",13,13,26,330,"Mostly cloudy throughout the day.","partly-cloudy-day",0.0038,0.78,"rain",80.43,68.13,82.81,68.56,0.8,1.16,"Monday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"34968","2011-05-20","31261",0,0,0,243,"Mostly cloudy throughout the day.","partly-cloudy-day",4e-04,0.48,"rain",71.06,56.67,71.06,56.67,0.76,0.99,"Friday",1,0,5,0.5,-0.866025403784439,"Spring",1
"44653","2011-07-27","31103",58,42,100,311,"Partly cloudy overnight.","partly-cloudy-night",0,0,NA,90.22,71.06,90.22,71.65,0.5,1.12,"Wednesday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"62026","2011-11-24","31238",19,19,38,431,"Clear throughout the day.","clear-day",0,0,NA,60,37.33,60,37.33,0.6,1.53,"Thursday",1,1,11,-0.5,0.866025403784438,"Fall",0
"18851","2011-01-28","31020",0,0,0,131,"Light snow in the afternoon.","snow",0.0023,0.68,"snow",35.31,25.94,35.31,25.94,0.85,0.28,"Friday",1,0,1,0.5,0.866025403784439,"Winter",1
"51471","2011-09-12","31704",0,0,0,358,"Partly cloudy in the morning.","partly-cloudy-night",0.0018,0.8,"rain",81.92,62.53,82.84,62.83,0.76,0.21,"Monday",1,0,9,-1,-1.83697019872103e-16,"Summer",1
"54018","2011-09-30","31009",16,21,37,376,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,74.54,52.76,74.54,52.76,0.72,0.53,"Friday",1,0,9,-1,-1.83697019872103e-16,"Fall",0
"17165","2011-01-17","31203",24,32,56,120,"Snow (< 1 in.) overnight.","snow",6e-04,0.38,"snow",31.46,27.81,31.46,27.81,0.56,1.68,"Monday",1,0,1,0.5,0.866025403784439,"Winter",1
"40759","2011-06-30","31703",0,1,1,284,"Clear throughout the day.","clear-day",0,0,NA,84.68,64.11,84.68,64.11,0.53,1.16,"Thursday",1,0,6,1.22464679914735e-16,-1,"Summer",0
"24981","2011-03-12","31219",51,64,115,174,"Partly cloudy until afternoon.","partly-cloudy-day",0,0,NA,60.05,46.66,60.05,46.66,0.54,2.57,"Saturday",1,0,3,1,6.12323399573677e-17,"Winter",0
"45259","2011-07-31","31008",10,10,20,315,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,95.18,73.04,95.18,74.16,0.54,0.4,"Sunday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"45345","2011-07-31","31245",0,0,0,315,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,95.18,73.04,95.18,74.16,0.54,0.4,"Sunday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"21590","2011-02-16","31404",0,0,0,150,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,57.93,42.88,57.93,42.88,0.43,2.61,"Wednesday",1,0,2,0.866025403784439,0.5,"Winter",0
"60919","2011-11-17","31703",0,0,0,424,"Mostly cloudy until evening.","partly-cloudy-day",3e-04,0.56,"rain",46.72,31.99,46.34,31.99,0.6,3.45,"Thursday",1,0,11,-0.5,0.866025403784438,"Fall",1
"13349","2010-12-21","31617",1,2,3,93,"Partly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,37.94,32.47,35.87,32.47,0.57,4.29,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"2979","2010-10-10","31622",0,0,0,21,"Clear throughout the day.","clear-day",0,0,NA,77.34,59.11,77.34,59.11,0.63,0.49,"Sunday",1,0,10,-0.866025403784439,0.5,"Fall",0
"33750","2011-05-12","31214",83,96,179,235,"Partly cloudy overnight.","partly-cloudy-night",0,0,NA,75.85,60.92,75.85,60.92,0.7,1.35,"Thursday",1,0,5,0.5,-0.866025403784439,"Spring",0
"9351","2010-11-23","31115",0,0,0,65,"Partly cloudy until evening.","partly-cloudy-day",1e-04,0.43,"rain",66.95,40.68,66.95,37.61,0.65,2.18,"Tuesday",1,0,11,-0.5,0.866025403784438,"Fall",1
"6329","2010-11-02","31614",0,0,0,44,"Partly cloudy overnight.","partly-cloudy-night",0,0,NA,51.34,34.93,51.34,34.93,0.65,0.71,"Tuesday",1,0,11,-0.5,0.866025403784438,"Fall",0
"37206","2011-06-05","31214",127,145,272,259,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,80.1,64.25,81.49,64.67,0.68,0.29,"Sunday",1,0,6,1.22464679914735e-16,-1,"Spring",0
"48855","2011-08-25","31007",35,32,67,340,"Rain in the afternoon.","rain",0.0089,0.98,"rain",79.28,68.27,82.21,69.2,0.82,1.27,"Thursday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"9292","2010-11-23","31611",11,15,26,65,"Partly cloudy until evening.","partly-cloudy-day",1e-04,0.43,"rain",66.95,40.68,66.95,37.61,0.65,2.18,"Tuesday",1,0,11,-0.5,0.866025403784438,"Fall",1
"15021","2011-01-02","31213",3,4,7,105,"Overcast until evening.","cloudy",0.0017,0.66,"rain",50.97,27.56,50.97,22.41,0.69,2.38,"Sunday",1,0,1,0.5,0.866025403784439,"Winter",1
"46327","2011-08-07","31618",29,28,57,322,"Light rain in the evening.","rain",0.0041,0.81,"rain",91.8,74.51,101.06,75.89,0.82,0.83,"Sunday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"5153","2010-10-25","31231",0,0,0,36,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,74.89,63.24,75.21,63.39,0.77,3.33,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"40401","2011-06-27","31609",13,16,29,281,"Mostly cloudy throughout the day.","partly-cloudy-day",5e-04,0.53,"rain",80.21,70.89,82.31,71.73,0.74,0.34,"Monday",1,0,6,1.22464679914735e-16,-1,"Summer",1
"42450","2011-07-11","31233",60,53,113,295,"Rain starting in the evening.","rain",0.0039,0.76,"rain",92.86,74.48,103.81,75.87,0.68,1.55,"Monday",1,0,7,-0.5,-0.866025403784439,"Summer",1
"3142","2010-10-11","31701",0,0,0,22,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,85.59,59.38,85.59,59.38,0.63,0.55,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"21524","2011-02-16","31211",5,7,12,150,"Partly cloudy in the morning.","partly-cloudy-night",0,0,NA,57.93,42.88,57.93,42.88,0.43,2.61,"Wednesday",1,0,2,0.866025403784439,0.5,"Winter",0
"16083","2011-01-09","31622",9,5,14,112,"Clear throughout the day.","clear-day",0,0,NA,33.13,23.03,26.2,19.29,0.48,6.39,"Sunday",1,0,1,0.5,0.866025403784439,"Winter",0
"24844","2011-03-11","31611",20,27,47,173,"Mostly cloudy throughout the day.","partly-cloudy-day",9e-04,0.59,"rain",48.57,36.7,46.97,36.7,0.65,3.28,"Friday",1,0,3,1,6.12323399573677e-17,"Winter",1
"9971","2010-11-28","31005",0,1,1,70,"Clear throughout the day.","clear-day",0,0,NA,47.73,28.27,47.73,28.27,0.56,0.91,"Sunday",1,0,11,-0.5,0.866025403784438,"Fall",0
"63166","2011-12-02","31804",1,1,2,439,"Clear throughout the day.","clear-day",0,0,NA,57.39,31.01,57.39,31.01,0.62,0.29,"Friday",1,0,12,-2.44929359829471e-16,1,"Fall",0
"14308","2010-12-28","31601",0,2,2,100,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,43.23,31.7,39.76,31.7,0.42,5.34,"Tuesday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"49108","2011-08-27","31100",0,3,3,342,"Heavy rain starting in the afternoon.","rain",0.0694,1,"rain",77.53,69.87,78.99,70.81,0.91,3.32,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"42117","2011-07-09","31219",96,107,203,293,"Partly cloudy starting in the evening.","partly-cloudy-night",0,0,NA,88.69,68.35,89.21,69.07,0.68,0.93,"Saturday",1,0,7,-0.5,-0.866025403784439,"Summer",0
"46959","2011-08-12","31002",20,19,39,327,"Partly cloudy in the morning.","partly-cloudy-day",0,0,NA,86.25,67.68,86.25,67.82,0.52,0.41,"Friday",1,0,8,-0.866025403784438,-0.5,"Summer",0
"65275","2011-12-17","31008",6,6,12,454,"Mostly cloudy until evening.","partly-cloudy-day",0,0,NA,40.69,30.12,38.79,30.12,0.6,2.24,"Saturday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"31682","2011-04-28","31209",17,21,38,221,"Light rain until afternoon.","rain",0.0041,0.97,"rain",77.1,52.08,77.47,52.08,0.68,2.35,"Thursday",1,0,4,0.866025403784439,-0.5,"Spring",1
"25303","2011-03-14","31618",20,17,37,176,"Partly cloudy throughout the day.","partly-cloudy-day",0,0,NA,51.64,34.87,51.64,34.87,0.54,1.45,"Monday",1,0,3,1,6.12323399573677e-17,"Winter",0
"18356","2011-01-25","31211",3,6,9,128,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,45.26,33.05,45.26,29.18,0.62,0.4,"Tuesday",1,0,1,0.5,0.866025403784439,"Winter",0
"14805","2010-12-31","31621",0,0,0,103,"Partly cloudy until afternoon.","partly-cloudy-day",0,0,NA,50.85,34.22,50.85,34.22,0.64,0.37,"Friday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"2941","2010-10-10","31216",11,12,23,21,"Clear throughout the day.","clear-day",0,0,NA,77.34,59.11,77.34,59.11,0.63,0.49,"Sunday",1,0,10,-0.866025403784439,0.5,"Fall",0
"5058","2010-10-25","31009",4,5,9,36,"Mostly cloudy throughout the day.","partly-cloudy-day",0,0,NA,74.89,63.24,75.21,63.39,0.77,3.33,"Monday",1,0,10,-0.866025403784439,0.5,"Fall",0
"26540","2011-03-23","31502",3,2,5,185,"Rain starting in the evening.","rain",0.0101,1,"rain",50.83,40.7,50.83,40.7,0.82,2.22,"Wednesday",1,0,3,1,6.12323399573677e-17,"Spring",1
"24512","2011-03-09","31110",53,42,95,171,"Rain overnight.","rain",5e-04,0.8,"rain",48.41,45.97,46.44,43.77,0.75,3.02,"Wednesday",1,0,3,1,6.12323399573677e-17,"Winter",1
"17396","2011-01-18","31230",0,0,0,121,"Foggy starting in the evening.","fog",0.0041,0.75,"snow",34.75,33.28,34.75,33.28,0.91,1.16,"Tuesday",1,0,1,0.5,0.866025403784439,"Winter",1
"22675","2011-02-24","31613",28,24,52,158,"Light rain overnight.","rain",0.0012,0.83,"rain",50.96,44.02,50.96,44.02,0.72,2.5,"Thursday",1,0,2,0.866025403784439,0.5,"Winter",1
"31147","2011-04-24","31008",12,9,21,217,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0.0039,0.42,"rain",85.65,61.96,85.65,62.29,0.73,0.85,"Sunday",1,0,4,0.866025403784439,-0.5,"Spring",1
"57663","2011-10-25","31704",0,0,0,401,"Partly cloudy overnight.","partly-cloudy-night",0,0,NA,66.51,53.08,66.51,53.08,0.68,1.29,"Tuesday",1,0,10,-0.866025403784439,0.5,"Fall",0
"31375","2011-04-25","31021",0,0,0,218,"Foggy in the morning.","fog",8e-04,0.66,"rain",87.11,68.3,87.11,68.58,0.69,1.44,"Monday",1,0,4,0.866025403784439,-0.5,"Spring",1
"47218","2011-08-13","31625",0,0,0,328,"Rain in the afternoon.","rain",0.0062,0.88,"rain",82.39,72.31,87.02,73.6,0.79,0.8,"Saturday",1,0,8,-0.866025403784438,-0.5,"Summer",1
"36873","2011-06-03","31603",30,35,65,257,"Clear throughout the day.","clear-day",0,0,NA,78.53,53.63,78.53,53.63,0.43,1.87,"Friday",1,0,6,1.22464679914735e-16,-1,"Spring",0
"67278","2011-12-31","31204",15,12,27,468,"Mostly cloudy starting in the afternoon.","partly-cloudy-night",0,0,NA,59.36,36.17,59.36,36.17,0.65,1.84,"Saturday",1,0,12,-2.44929359829471e-16,1,"Winter",0
"30551","2011-04-20","31000",4,3,7,213,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,0,NA,85.92,52.36,85.92,52.36,0.59,1.99,"Wednesday",1,0,4,0.866025403784439,-0.5,"Spring",0
"19695","2011-02-03","31018",0,0,0,137,"Clear throughout the day.","clear-day",0,0,NA,34.55,24.83,33.72,24.83,0.5,4.22,"Thursday",1,0,2,0.866025403784439,0.5,"Winter",0
"11624","2010-12-09","31705",0,0,0,81,"Partly cloudy in the afternoon.","partly-cloudy-day",0,0,NA,35.04,23.61,34.37,23.61,0.56,1.71,"Thursday",1,0,12,-2.44929359829471e-16,1,"Fall",0
